state,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,status_of_reopening,bar_closures,emergency_declaration,TotalPop,discuss,discussOppose,reducetax,reducetaxOppose,CO2limits,CO2limitsOppose,localofficials,localofficialsOppose,governor,governorOppose,congress,congressOppose,president,presidentOppose,corporations,corporationsOppose,citizens,citizensOppose,regulate,regulateOppose,supportRPS,supportRPSOppose,drilloffshore,drilloffshoreOppose,drillANWR,drillANWROppose,fundrenewables,fundrenewablesOppose,rebates,rebatesOppose,mediaweekly,mediaweeklyOppose,prienv,prienvOppose,teachGW,teachGWOppose,happening,happeningOppose,human,humanOppose,consensus,consensusOppose,worried,worriedOppose,personal,personalOppose,harmUS,harmUSOppose,devharm,devharmOppose,futuregen,futuregenOppose,harmplants,harmplantsOppose,timing,timingOppose,affectweather,affectweatherOppose,score.x,score.y
South Carolina,-15.82170543,1.527131783,25.3875969,-10.03875969,-30.17829457,9.697674419,New Restrictions Imposed,New Service Limits,Yes,3748826,31.812,68.07,65.057,34.388,64.823,33.991,55.944,16.047,55.73,17.392,57.839,20.793,57.914,14.637,66.335,12.643,61.182,13.036,70.11,28.177,59.644,39.569,54.659,44.124,34.86,63.947,82.592,16.591,80.041,18.954,26.581,72.014,67.375,28.298,75.685,23.742,63.311,16.785,48.216,35.307,46.784,26.479,55.793,44.11,39.409,49.41,53.017,33.835,57.628,28.201,62.832,23.612,63.257,23.884,45.435,54.565,54.226,8.067,51.0085,51.0085
South Dakota,-10.4496124,14.79844961,179.8837209,5.069767442,-25.70542636,8.930232558,Reopened,Reopened,Yes,641443,32.748,66.91,64.062,35.695,62.654,36.722,50.521,17.548,49.727,18.361,53.942,21.505,52.74,16.531,64.854,12.902,58.784,12.533,68.651,29.468,60.695,37.419,56.278,41.583,38.224,60.266,83.197,15.836,80.24,18.753,31.113,67.776,67.967,29.264,73.281,26.046,59.656,22.602,46.751,37.563,44.461,31.191,54.851,44.903,33.9,57.057,50.747,40.442,53.081,34.709,62.524,29.794,64.453,28.21,39.905,60.095,52.389,9.292,48.87233333,48.87233333
Tennessee,-15.20930233,1.976744186,52.0620155,-18.70542636,-30.8372093,9.395348837,Proceeding with Reopening,Reopened,Yes,5053084,30.452,69.478,61.672,37.069,60.584,38.353,54.359,17.174,54.748,17.752,55.507,22.642,55.899,16.669,63.661,13.903,58.401,14.572,68.054,30.672,57.254,42.186,60.538,37.501,39.021,59.697,79.353,19.86,78.868,20.097,28.186,70.128,66.469,30.959,75.148,24.165,59.764,20.214,47.814,35.626,43.774,28.914,52.739,47.065,37.158,51.881,52.139,36.556,54.025,31.703,60.042,27.018,61.284,26.143,43.457,56.544,49.703,9.386,48.94433333,48.94433333
Texas,-23.94573643,-6.480620155,-3.658914729,-32.65891473,-35.76744186,13.62790698,New Restrictions Imposed,Newly Closed,Yes,19823959,33.503,66.466,64.002,35.687,65.489,34.029,56.57,16.81,56.15,17.588,57.601,21.831,58.537,14.653,66.542,13.213,61.886,13.659,69.192,30.089,60.981,38.307,56.957,42.567,33.552,66.476,80.072,19.835,78.916,21.07,31.306,67.043,67.581,28.781,76.007,23.668,66.334,16.545,51.835,33.504,48.092,25.776,60.079,39.921,43.504,46.257,57.759,31.906,62.017,26.786,66.729,22.983,67.025,23.091,47.549,52.451,55.802,7.632,54.66633333,54.66633333
Utah,-19.24806202,3.379844961,100.4108527,-30.58914729,-36.4496124,10.96124031,Proceeding with Reopening,Reopened,Yes,2043231,36.834,62.572,60.513,38.601,62.33,37.164,49.411,18.406,47.755,20.409,53.341,25.404,51.741,18.672,65.986,12.141,60.74,12.105,68.408,30.719,56.249,43.669,53.621,44.862,36.295,62.808,82.987,16.303,80.814,18.147,35.21,63.407,67.977,28.885,73.254,26.331,61.646,21.798,47.099,37.498,46.86,31.862,54.871,44.873,35.653,56.416,51.731,39.826,57.218,33.47,60.909,29.788,64.072,28.22,41.177,58.823,53.316,9.264,49.5205,49.5205
Vermont,-27.62015504,-10.37209302,84.234375,-40.95348837,-38.98449612,12.72868217,Proceeding with Reopening,Reopened,Yes,504558,39.344,60.766,67.515,33.065,71.647,27.801,54.925,16.138,56.369,15.731,63.272,17.517,62.642,11.034,72.837,11.201,66.141,11.283,76.16,23.449,67.51,32.666,49.686,51.268,29.884,70.91,86.532,13.704,83.669,16.229,38.436,60.398,71.501,26.694,76.018,23.756,69.385,14.89,55.805,30.264,57.553,23.916,62.896,37.109,40.89,52.93,58.946,34.627,64.997,26.935,72.775,20.668,72.526,21.264,47.682,52.318,65.02,6.227,58.14416667,58.14416667
Virginia,-25.59689922,-5.178294574,48.29457364,-37.75193798,-37.9379845,13.78294574,Proceeding with Reopening,Closed,Yes,6444745,36.232,63.695,68.41,31.152,69.266,30.44,58.147,15.589,58.427,16.674,62.158,18.613,61.165,12.701,70.812,12.145,64.814,12.09,73.377,25.176,63.596,35.596,50.352,48.886,32.339,67.32,84.856,14.36,81.808,17.673,31.047,67.554,69.666,27.34,78.108,21.427,68.631,14.403,54.805,30.825,54.045,24.47,60.797,39.118,42.593,47.601,58.044,31.735,64.525,25.144,69.86,20.194,71.475,19.957,49.023,50.977,62.137,6.511,56.69066667,56.69066667
Washington,-28.43410853,-5.689922481,60.1627907,-41.81395349,-41.60465116,13.51937984,Paused,Closed,Yes,5468551,41.648,58.099,66.487,33.313,71.555,27.982,55.587,17.697,52.85,21.385,61.998,21.276,60.548,13.737,71.262,12.071,65.888,12.079,72.704,26.465,63.458,35.668,43.67,55.413,27.891,72.305,83.423,15.686,81.956,17.278,39.194,59.136,71.228,24.161,78.274,21.367,69.894,14.885,55.322,30.098,57.554,25.152,61.678,38.094,42.939,51.165,59.972,32.838,66.406,26.234,72.208,21.217,73.117,21.111,49.534,50.466,62.799,6.374,58.27883333,58.27883333
West Virginia,-14.88372093,1.085271318,47.41085271,-3.697674419,-29.78294574,8.612403101,New Restrictions Imposed,Reopened,Yes,1466244,28.255,71.509,51.774,47.73,50.846,48.745,46.716,20.32,45.199,21.881,47.246,30.718,50.002,22.215,60.36,14.298,54.792,15.156,64.61,34.635,48.383,52.138,61.036,39.611,40.489,59.371,80.347,19.562,77.696,21.932,28.167,70.564,64.35,30.807,64.199,35.831,54.25,27.853,39.225,43.393,37.963,35.814,45.094,54.792,30.596,59.722,43.291,45.727,49.062,39.235,53.157,34.98,54.871,35.919,35.052,64.948,44.491,10.086,41.55433333,41.55433333
Wisconsin,-22.80620155,-0.868217054,139.9147287,-17.30232558,-31.63565891,11.65891473,Reopened,Reopened,Yes,4453300,33.329,66.417,65.699,34.525,67.548,31.866,52.496,15.771,54.612,16.51,57.348,19.525,57.701,13.753,69.146,10.867,62.455,11.52,72.833,26.205,62.093,37.335,55.858,43.385,33.439,66.269,84.739,14.643,82.094,17.674,31.191,67.217,67.637,28.36,74.116,25.454,63.678,17.923,52.537,33.656,50.815,27.633,55.438,44.492,37.556,54.153,54.251,36.696,62.111,28.726,67.428,23.203,67.572,23.406,43.424,56.576,58.734,7.375,53.00416667,53.00416667
Wyoming,-8.953488372,11.98449612,117.3145161,12.39534884,-25.65891473,7.15503876,Proceeding with Reopening,Reopened,Yes,444185,32.825,66.469,50.414,48.671,49.539,50.233,42.755,20.389,40.105,23.327,44.182,32.566,45.38,23.758,60.807,12.624,54.847,12.939,63.648,35.595,47.377,53.279,61.069,38.142,43.216,54.542,81.596,18.219,79.136,21.073,33.14,65.448,66.63,30.127,64.778,35.27,54.21,28.967,38.072,45.013,38.405,37.943,46.986,52.698,29.929,61.802,43.912,46.663,48.552,39.674,52.334,35.571,56.06,35.311,34.119,65.881,43.167,10.665,41.60633333,41.60633333
